full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Gavin Newsom,,healthcare,2,"Newsom campaigned on single-payer in 2018  but pivoted to incremental expansion. He signed SB 770 (Oct 2023) directing negotiations for a federal waiver to consolidate Medicare/Medicaid funding toward single-payer.  He expanded Medi-Cal to all undocumented immigrants regardless of age by 2024  and capped insulin copays at $35,  but did not implement a full single-payer system.",https://www.gov.ca.gov/priorities-and-progress/priorities/health-care/,,
Gavin Newsom,,abortion,1,"Newsom championed Proposition 1 (Nov 2022) enshrining abortion and contraception rights in the California constitution.  He signed 20+ bills protecting and expanding abortion access including AB 260 (Sept 2025) allowing anonymous prescribing of abortion medication.  He launched Abortion.CA.Gov and signed SB 106 (Feb 2026) delivering $90M in emergency Planned Parenthood funding after federal defunding.", https://www.gov.ca.gov/2023/09/27/california-expands-access-and-protections-for-reproductive-health-care/,,
Gavin Newsom,,tariffs,2,"Newsom is strongly pro-free trade and called Trump's tariffs 'the largest tax increase in history.'  California filed the first state lawsuit against Trump's tariffs in April 2025 arguing they exceeded presidential authority.  He directed his administration to pursue strategic trade relationships with international partners while urging exemptions of California-made products from retaliatory tariffs.", https://www.gov.ca.gov/2025/04/04/governor-newsom-directs-state-to-pursue-strategic-relationships-with-international-trading-partners-urges-exemptions-of-california-made-products-from-tariffs/,https://www.gov.ca.gov/2025/03/04/governor-newsom-tariffs-are-taxes-on-american-families/,
Gavin Newsom,,taxes,2,"California under Newsom has the nation's most progressive tax structure with a 13.3% top marginal rate. He signed SB 525 raising healthcare worker minimum wage and supported various measures increasing costs on businesses. However he notably opposed a proposed billionaire wealth tax arguing it would cause capital flight  — positioning him at modestly increasing taxes on high earners while avoiding extreme measures.",https://calmatters.org/newsletter/newsom-signed-bills-insulin-housing/,,
Gavin Newsom,,same-sex-marriage,1,"Newsom is a historic champion of marriage equality. As San Francisco mayor in 2004 he directed the city clerk to issue same-sex marriage licenses before it was legal anywhere in the U.S. — the 'Winter of Love' that issued 4000+ licenses.  As governor he has consistently signed pro-LGBTQ+ legislation and championed full federal recognition and benefits.",,, 
Gavin Newsom,,religious-freedom,2,"Newsom has consistently prioritized anti-discrimination protections over religious exemptions. He signed numerous LGBTQ+ protection bills without broad religious exemptions and supported requiring abortion access through legislation that did not include religious carve-outs for clinics. His enforcement of the FACCE Act (AB 2099) increasing penalties for obstruction at reproductive health clinics further demonstrates this stance.",,,  
Gavin Newsom,,trans-athletes,3,"Newsom's position has notably evolved. California law since 2013 allows transgender athletes to compete on teams matching their gender identity. However in March 2025 on his podcast with Charlie Kirk Newsom said transgender athletes in women's sports is 'deeply unfair.'  In October 2025 he signed a bill creating a commission to study youth sports inclusion  suggesting case-by-case evaluation rather than blanket policy.",https://www.capradio.org/articles/2025/03/06/lgbtqplus-advocates-push-back-on-newsoms-remarks-about-transgender-athletes/,,
Gavin Newsom,,ukraine-support,2,"Newsom has been firmly supportive of Ukraine. In March 2022 he signed an executive order directing state agencies to ensure compliance with Russian sanctions and called for state pension funds (CalPERS and CalSTRS) to halt Russian investments. He met with Ukraine's Consul General  and in February 2025 deepened partnerships with Ukrainian leaders at the Munich Security Conference. California has a nearly 30-year National Guard partnership with Ukraine.", https://www.gov.ca.gov/2022/03/04/governor-newsom-orders-state-agencies-to-ensure-contracts-comply-with-sanctions-on-russia-calls-on-california-businesses-and-organizations-to-support-ukraine/,,
Gavin Newsom,,medicare,2,"Newsom expanded Medi-Cal (California's Medicaid) to cover all income-eligible residents regardless of immigration status  covering about 40% of all Californians.  He signed SB 770 (2023) directing negotiations for federal Medicare/Medicaid waivers to consolidate funding toward a potential single-payer system.  He also signed bills raising healthcare worker wages (SB 525) and capping insulin costs.",,,  
Gavin Newsom,,fossil-fuels,2,"Newsom directed CalGEM to halt new fracking permits by January 2024 (executive order April 2021) and signed SB 1137 establishing 3200-foot setback requirements for oil wells near homes and schools.  He issued an executive order (Sept 2020) banning sale of new gas-powered vehicles by 2035.  However he has not imposed an immediate ban on all drilling — conventional drilling permits continued though declining dramatically.",https://www.gov.ca.gov/2021/04/23/governor-newsom-takes-action-to-phase-out-oil-extraction-in-california/,https://www.gov.ca.gov/2020/09/23/governor-newsom-announces-california-will-phase-out-gasoline-powered-cars-drastically-reduce-demand-for-fossil-fuel-in-californias-fight-against-climate-change/,
