full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Linda Sanchez,,healthcare,2,"Sanchez cosponsored the Strengthening Medicare for Patients and Providers Act (H.R. 2474, 2023) and voted for ACA expansions and the Inflation Reduction Act (2022). She supports expanding Medicare benefits to include dental, vision, and hearing and enabling drug price negotiation, reflecting a public option/expansion approach rather than full single-payer.",https://lindasanchez.house.gov/issues/health-care,https://www.congress.gov/bill/118th-congress/house-bill/2474/cosponsors,
Linda Sanchez,,abortion,1,"Sanchez voted for the Women's Health Protection Act codifying abortion access at all stages and has consistently voted against restrictions on federal funding for abortions. She received a 0% rating from the National Right to Life Committee and opposes all abortion restrictions.",https://lindasanchez.house.gov/issues/Civil-Rights-and-Equality?page=1,https://en.wikipedia.org/wiki/Linda_S%C3%A1nchez,
Linda Sanchez,,tariffs,2,"As Ways and
Means Trade Subcommittee Ranking Member, Sanchez introduced the Stopping a Rogue President on Trade Act (H.R. 2888, April 2025) to rescind most Trump tariffs and require congressional approval for new ones. She supports targeted trade enforcement through USMCA mechanisms but opposes broad protectionist tariffs.",https://www.congress.gov/bill/119th-congress/house-bill/2888,https://lindasanchez.house.gov/media-center/press-releases/sanchez-panetta-delbene-ways-and-means-democrats-demand-president-trump,https://lindasanchez.house.gov/media-center/press-releases/sanchez-president-trumps-chaotic-trade-saga-continues
Linda Sanchez,,taxes,1,"Sanchez introduced the Responsible Estate Tax Act and supports eliminating the payroll tax cap for Social Security. During the 2025 Ways and Means markup she stated 'Don't buy the bullshit that tax cuts for the rich create more jobs' and has repeatedly denounced the 2017 Tax Cuts and Jobs Act as a 'tax scam' benefiting billionaires.",https://lindasanchez.house.gov/media-center/press-releases/sanchez-republican-tax-bill-dont-buy-bullshit,https://www.npr.org/2017/11/03/561781191/democratic-rep-linda-sanchez-on-gop-tax-bill,https://lindasanchez.house.gov/media-center/press-releases/linda-s-nchez-floor-statement-republican-tax-scam
Linda Sanchez,,same-sex-marriage,1,"Sanchez is co-founder and Vice Chair of the Congressional LGBT Equality Caucus. She voted for the Respect for Marriage Act (December 2022) repealing DOMA and introduced the Social Security Equality Act to extend benefits to same-sex couples. She has consistently supported full marriage equality with federal benefits since 2008.",https://lindasanchez.house.gov/media-center/press-releases/s-nchez-statement-final-passage-respect-marriage-act,https://lindasanchez.house.gov/media-center/press-releases/congresswoman-s-nchez-co-founder-new-lgbt-equality-caucus,
Linda Sanchez,,religious-freedom,2,"Sanchez co-introduced the Equality Act (2017, 2019, 2021) which explicitly limits the Religious Freedom Restoration Act as a defense against anti-discrimination claims. She prioritizes anti-discrimination protections over religious exemptions while the Respect for Marriage Act she supported included some negotiated religious liberty safeguards.",https://lindasanchez.house.gov/media-center/press-releases/linda-s-nchez-statement-re-introduction-equality-act,https://lindasanchez.house.gov/issues/Civil-Rights-and-Equality?page=1,
Linda Sanchez,,trans-athletes,2,"Sanchez was named a 'Trans Equality Champion' by Advocates for Trans Equality for the 118th Congress and voted against H.R. 734 (Protection of Women and Girls in Sports Act) which would ban transgender girls from school sports. She cosponsored the Equality Act extending civil rights protections based on gender identity.",https://transequality.org/news/advocates-trans-equality-unveils-118th-congressional-champions-list,https://lindasanchez.house.gov/media-center/press-releases/linda-s-nchez-statement-re-introduction-equality-act,
Linda Sanchez,,ukraine-support,2,"Sanchez voted for the Ukraine Security Supplemental Appropriations Act (H.R. 5692, April 2024) and supported Ukraine aid in the FY2023 omnibus. In December 2022 she stated the U.S. 'must continue to stand with' Ukraine and provide 'critical aid' to 'ensure a democratic future for Ukraine.'",https://clerk.house.gov/Votes/2024151,https://www.congress.gov/bill/118th-congress/house-bill/5692,https://lindasanchez.house.gov/media-center/press-releases/s-nchez-votes-pass-government-spending-package-secures-funding-15
Linda Sanchez,,medicare,2,"Sanchez opposes Medicare privatization and supports expanding Medicare to include dental, vision, and hearing services. She voted for the Inflation Reduction Act enabling Medicare drug price negotiation and cosponsored H.R. 676 (Medicare for All) in 2017 but has focused recent efforts on expanding existing Medicare benefits and lowering eligibility age.",https://lindasanchez.house.gov/issues/health-care,https://lindasanchez.house.gov/issues/seniors,
Linda Sanchez,,fossil-fuels,2,"Sanchez voted for the Inflation Reduction Act (2022) calling it 'the largest-ever federal investment in fighting climate change' and co-introduced the Renewable Natural Gas Incentive Act (2025). Her official website states she fights to 'reduce and eliminate greenhouse gas emissions' through clean energy investment rather than an immediate drilling ban.",https://lindasanchez.house.gov/issues/energy-and-environment,https://lindasanchez.house.gov/media-center/press-releases/s-nchez-advances-inflation-reduction-act-sends-bill-president-biden-s,https://lindasanchez.house.gov/media-center/press-releases/sanchez-fitzpatrick-introduce-bill-create-new-tax-credit-renewable
