full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Gilbert Cisneros,,healthcare,2,"Cisneros explicitly supports a public option alongside private insurance. He stated he will fight for the public option originally intended to be part of the ACA and give people the option to buy into Medicare. His Dec 2025 Health Care Action Plan with the New Democrat Coalition focuses on protecting and expanding the ACA and lowering drug costs through government negotiation. He voted for HR 3 (Lower Drug Costs Now Act 2019).",https://cisneros.house.gov/media/press-releases/rep-cisneros-unveils-health-care-action-plan,https://justfacts.votesmart.org/candidate/political-courage-test/179370/gil-cisneros,
Gilbert Cisneros,,abortion,1,"Cisneros earned a 100% rating from Planned Parenthood Action Fund and is a member of the Pro-Choice Caucus. He opposed the Hyde Amendment banning federal funding for abortions and supported repeal of the Helms Amendment barring U.S. foreign aid for abortions. As Under Secretary of Defense he expanded abortion access for military personnel even in states that banned it. His Health Care Action Plan calls for protecting access to abortion and family planning services.",https://cisneros.house.gov/media/press-releases/rep-cisneros-unveils-health-care-action-plan,,
Gilbert Cisneros,,tariffs,2,"Cisneros introduced the Cut the Burden Keep the Benefits Act (Dec 2025) addressing the burden of tariffs on small businesses. As a New Democrat Coalition member he aligns with a generally pro-trade stance but supports targeted measures. His campaign focuses on bringing manufacturing jobs home while opposing corporate tax breaks for offshoring. He signals opposition to broad protectionist tariff policies without calling for eliminating all tariffs.",https://cisneros.house.gov/issues/economy,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/826/gil-cisneros/,
Gilbert Cisneros,,taxes,2,"Cisneros advocates reducing taxes for working families while eliminating tax breaks for special interests and big corporations that send jobs overseas. In 2019 he introduced a bipartisan bill to increase the SALT deduction cap. He voted against the Republican tax bill. His emphasis is on middle-class tax relief combined with higher corporate and special-interest taxation.",https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/826/gil-cisneros/,,
Gilbert Cisneros,,same-sex-marriage,1,"Cisneros co-sponsored the Equality Act (H.R. 5 116th Congress) prohibiting discrimination based on sexual orientation and gender identity in employment housing and public accommodations. He co-sponsored H.Res.1209 supporting Supreme Court decisions affirming same-sex marriage. He is a member of the LGBT Equality Caucus and promoted LGBTQ equity as Under Secretary of Defense.",https://www.congress.gov/bill/116th-congress/house-resolution/1209/text,https://www.govtrack.us/congress/bills/116/hr5,
Gilbert Cisneros,,religious-freedom,2,"Cisneros co-sponsored the Equality Act which explicitly limits religious exemptions by narrowing the scope of the Religious Freedom Restoration Act (RFRA) when it comes to denying services based on sexual orientation or gender identity. This places religious liberty as important but subordinate to anti-discrimination protections when the two conflict.",https://www.govtrack.us/congress/bills/116/hr5,,
Gilbert Cisneros,,trans-athletes,2,"No specific sports policy statement found. However Cisneros is described as a fierce advocate for LGBTQ+ and trans rights on his campaign site. He co-sponsored the Equality Act extending civil rights protections to gender identity. He opposed the ban on transgender military service and implemented the policy allowing transgender service members to serve openly at the Pentagon. Rating is based on broader trans-rights advocacy pattern rather than a specific sports policy.",https://www.govtrack.us/congress/bills/116/hr5,,
Gilbert Cisneros,,ukraine-support,2,"Cisneros supports Ukrainian democracy and opposing Russia's expansion by force. He stated the U.S. must continue to strengthen its international coalition and reaffirm commitment to NATO improve intelligence sharing with allies and strangle terrorist financial networks. His military background and strong NATO commitment align with continued robust support for Ukraine.",https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/826/gil-cisneros/,,
Gilbert Cisneros,,medicare,2,"Cisneros supports a public option giving people the option to buy into Medicare effectively expanding access beyond current eligibility. His Health Care Action Plan calls for protecting and strengthening Medicare and Medicaid as cornerstones of American health and financial security. He hosted a Medicare town hall and pledged to oppose efforts to cut or privatize Medicare. He supports closing Medicaid coverage gaps.",https://cisneros.house.gov/media/press-releases/rep-cisneros-unveils-health-care-action-plan,,
Gilbert Cisneros,,fossil-fuels,2,"Cisneros earned a 98% lifetime LCV score and supports ending reliance on polluting fossil fuels by investing in renewable energy. His platform opposes new drilling off coastlines and in the Arctic and supports phasing down extraction on public lands eliminating fossil fuel subsidies pricing carbon emissions and closing the Halliburton loophole on fracking. He pledged not to take money from big oil.",https://www.lcv.org/moc/gilbert-cisneros/,,
Gilbert Cisneros,,voting-rights,2,"Cisneros co-sponsored the For the People Act (H.R. 1 116th Congress) which includes automatic voter registration expanded early voting and mail-in voting provisions. He called it one of the largest anti-corruption bills of the modern era and voted for it when it passed the House 234-193 in March 2019. The bill expands voter access broadly though does not include online voting.",https://www.brennancenter.org/our-work/policy-solutions/annotated-guide-people-act-2021,,
Gilbert Cisneros,,deportation,2,"Cisneros introduced the PROTECT Military Families Act (Jan 2026) to prevent deportation of military families. He fought to protect DREAMers and DACA and supports comprehensive immigration reform including a pathway to citizenship for long-term undocumented residents. He supports protecting TPS recipients keeping families together and enhancing border security in a responsible and humane manner. He voted for the American Dream and Promise Act (H.R. 6).",https://cisneros.house.gov/issues/congress,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/826/gil-cisneros/,
Gilbert Cisneros,,social-security,2,"Cisneros pledges to stand as a bulwark against any attempts to cut or privatize Social Security calling these programs essential cornerstones of the social safety net. He hosted a town hall specifically on protecting Medicare Medicaid and Social Security. While he has not specifically called for removing the income cap his strong defense of the program combined with support for raising taxes on the wealthy places him at a 2.",https://cisneros.house.gov/issues/health,https://meetthefreshmen.marathonstrategies.com/meet-the-freshmen/826/gil-cisneros/,
Gilbert Cisneros,,climate-change,2,"Cisneros believes urgent action is needed on climate change. He supports investments in clean energy to create millions of union jobs ending reliance on fossil fuels through wind and solar investment carbon pricing phasing down fossil fuel extraction on public lands and a Buy Clean and Buy America standard. His 98% LCV score reflects strong environmental voting. He supports retraining fossil fuel workers for new energy jobs.",https://www.lcv.org/moc/gilbert-cisneros/,,
