full_name,external_id,topic_key,value,reasoning,source_url_1,source_url_2,source_url_3
Jim Banks,,healthcare,4,"Banks voted for the American Health Care Act in 2017 to repeal the ACA and has consistently opposed government healthcare expansion. He voted against the Families First Coronavirus Response Act (2020) and COVID-19 stimulus packages. As RSC chairman he led budgets proposing significant healthcare spending cuts while maintaining limited safety nets.",https://en.wikipedia.org/wiki/Jim_Banks,https://banksforsenate.com/issues/,
Jim Banks,,abortion,5,"Banks has a 100% lifetime National Right to Life Committee rating. His 2016 iVoterGuide states 'Human life begins at conception and deserves legal protection at every stage until natural death.'  In January 2023 he endorsed restrictions on women traveling out of state for abortions and stated 'I'm for federal legislation and stronger laws at the state level — whatever we can do to save lives.'", https://sbaprolife.org/representative/jim-banks,https://indems.org/press-release/jim-banks-endorses-travel-ban-for-hoosier-women-seeking-reproductive-healthcare/,https://en.wikipedia.org/wiki/Jim_Banks
Jim Banks,,tariffs,4,"Banks wrote a Newsweek op-ed (April 2025) titled 'Trump's Tariffs Protect U.S. Workers From China' strongly endorsing reciprocal tariffs. His December 2024 'Working Families First' memo called for incentivizing domestic investment. He frames tariffs primarily as a tool to counter unfair trading practices especially by China.",https://www.newsweek.com/sen-jim-banks-trumps-tariffs-protect-us-workers-china-opinion-2058611,https://banksforsenate.com/issues/,
Jim Banks,,taxes,4,"Banks voted for the Tax Cuts and Jobs Act of 2017 which reduced rates across all income brackets and cut corporate taxes  from 35% to 21%. As RSC chairman he led budget proposals cutting trillions in spending.  His campaign promotes 'pro-growth policies' and reducing taxes on 'hardworking Americans.'", https://en.wikipedia.org/wiki/Jim_Banks,https://banksforsenate.com/issues/,https://www.congress.gov/member/jim-banks/B001299
Jim Banks,,same-sex-marriage,5,"Banks voted against the Respect for Marriage Act  in the House  in both July and December 2022 (Roll Call 513). His 2016 iVoterGuide states: 'Governments should define marriage as between one man and one woman; no other definition of marriage should be legalized or supported with public funds.'  He previously worked for Focus on the Family.",https://www.washingtonpost.com/politics/interactive/2022/house-vote-count-respect-for-marriage-act/,https://clerk.house.gov/Votes/2022513,https://en.wikipedia.org/wiki/Jim_Banks
Jim Banks,,religious-freedom,4,"Banks supports the First Amendment Defense Act (FADA) protecting faith-based exemptions for those who believe marriage is between one man and one woman. He and his wife previously worked for Focus on the Family. He supported Indiana's Religious Freedom Restoration Act and championed the RSC's religious liberty priorities.",https://banksforsenate.com/issues/,https://en.wikipedia.org/wiki/Jim_Banks,
Jim Banks,,trans-athletes,4,"Banks led nearly 200 House Republicans in a discharge petition to force a vote on legislation cutting federal funding to schools that allow transgender athletes in women's sports.  His campaign website states he stands for 'keeping boys out of girls' sports.'  He opposed Biden's Title IX rewrite allowing transgender athletes to compete based on gender identity.",https://banksforsenate.com/issues/,https://en.wikipedia.org/wiki/Jim_Banks,
Jim Banks,,ukraine-support,4,"Banks voted for a moratorium on aid to Ukraine in 2023  and was among 98 Republicans who voted to ban cluster munitions transfers to Ukraine.  His alignment with the 'America First' foreign policy wing emphasizes redirecting foreign aid spending to domestic priorities.",https://en.wikipedia.org/wiki/Jim_Banks,,
Jim Banks,,medicare,4,"As RSC chairman Banks led a budget proposing trillions in spending cuts including to entitlement programs. He voted for the American Health Care Act of 2017 which would have rolled back Medicaid expansion. He voted for the Limit Save Grow Act of 2023 which included spending reductions to healthcare programs.",https://en.wikipedia.org/wiki/Jim_Banks,https://banksforsenate.com/issues/,
Jim Banks,,fossil-fuels,5,"Banks voted for H.R. 1 the Lower Energy Costs Act (2023) which expanded fossil fuel production and reduced environmental regulations. His LCV score is consistently under 5%. In October 2016 he stated: 'I believe that climate change in this country is largely leftist propaganda to change the way Americans live.'",https://www.lcv.org/moc/jim-banks/,https://en.wikipedia.org/wiki/Jim_Banks,https://www.ontheissues.org/IN/Jim_Banks_Energy_+_Oil.htm
Jim Banks,,voting-rights,5,"Banks introduced the Save Democracy Act (2021) prohibiting automatic voter registration and requiring full Social Security Numbers to register. He called for passage of the SAVE America Act mandating photo ID and proof of citizenship for voting. He voted against H.R. 5746 the Freedom to Vote: John R. Lewis Act.",https://www.banks.senate.gov/news/press-releases/senator-banks-calls-for-passage-of-save-america-act/,https://banksforsenate.com/issues/,
Jim Banks,,deportation,5,"In a November 2024 CNN interview Banks stated: 'The goal should be to deport every illegal.' At a December 2024 Axios event he said the cost of mass deportations will be 'well worth it.'  He voted for the Secure the Border Act (H.R. 2) in 2023 and introduced the End Executive Branch Amnesty Act in October 2024.",https://www.cnn.com/2024/11/08/politics/video/jim-banks-immigration-trump-plans-deportation-digvid,https://www.axios.com/2024/12/12/banks-mass-deportations-cost,https://banksforsenate.com/issues/
Jim Banks,,social-security,4,"As RSC chairman Banks led a budget that proposed addressing the national debt through spending reductions including to entitlement programs. The RSC budget has historically included proposals to raise the retirement age and adjust benefits for higher earners. He has not explicitly called for privatizing Social Security.",https://en.wikipedia.org/wiki/Jim_Banks,https://banksforsenate.com/issues/,
Jim Banks,,climate-change,5,"In October 2016 Banks explicitly stated: 'I believe that climate change in this country is largely leftist propaganda.'  He voted for the Lower Energy Costs Act promoting fossil fuel production and voted against clean energy legislation. His LCV score is consistently under 5%.",https://en.wikipedia.org/wiki/Jim_Banks,https://www.lcv.org/moc/jim-banks/,https://www.ontheissues.org/IN/Jim_Banks_Energy_+_Oil.htm
